1768557712.1245322,1
1768557712.3347075,1
1768557712.5144582,1
1768557712.7026536,1
1768557712.8988352,1
1768557713.0838625,1
1768557713.2784708,1
1768557713.485814,1
1768557713.6715455,1
1768557713.86218,1
1768557714.0465302,1
1768557714.2231407,1
1768557714.4226696,1
1768557714.6036189,1
1768557714.7922323,1
1768557714.9676867,2
1768557715.1491907,1
1768557715.3285608,1
1768557715.5107608,1
1768557715.6946418,1
1768557715.8805163,1
1768557716.0637095,1
1768557716.2400703,1
1768557716.405916,1
1768557716.5819628,1
1768557716.7669053,1
1768557716.9461305,1
1768557717.1262543,1
1768557717.333551,1
1768557717.5225232,1
1768557717.706219,1
1768557717.891834,1
1768557718.0780175,1
1768557718.3296857,1
1768557718.5183825,1
1768557718.705281,1
1768557718.901287,1
1768557719.0905704,1
1768557719.2936983,1
1768557719.4954221,1
1768557719.6952038,1
1768557719.8923442,1
1768557720.091296,1
1768557720.2909622,1
1768557720.4870577,1
1768557720.6890447,1
1768557720.8939297,1
1768557721.075724,1
1768557721.2633464,1
1768557721.4668732,1
1768557721.7560043,1
1768557721.9462214,1
1768557722.1237998,1
1768557722.3309937,1
1768557722.5169988,1
1768557722.7071476,1
1768557722.8987308,3
1768557723.109125,1
1768557723.2941737,3
1768557723.499541,2
1768557723.6931937,1
1768557723.9442058,1
1768557724.1900246,1
1768557724.4610386,1
1768557724.7132165,1
1768557724.971785,1
1768557725.2266319,1
1768557725.500838,1
1768557725.7899966,1
1768557726.080113,1
1768557726.3492355,1
1768557726.6043873,1
1768557726.8722198,1
1768557727.1344512,1
1768557727.4234092,1
1768557727.6742136,1
1768557727.9219606,1
1768557728.184471,1
1768557728.4454074,1
1768557728.8057764,1
1768557729.08722,3
1768557729.3390217,2
1768557729.6137795,2
1768557729.902812,1
1768557730.1730478,1
1768557730.4408228,1
1768557730.7228994,1
1768557731.004809,1
1768557731.292127,2
1768557731.5710468,1
1768557731.835133,2
1768557732.1143878,1
1768557732.4099522,1
1768557732.664054,1
1768557732.9153883,1
1768557733.1707294,1
1768557733.4492683,1
1768557733.7141683,1
1768557733.968413,1
1768557734.231984,1
1768557734.4851623,1
1768557734.754852,1
1768557735.0139558,1
1768557735.2815979,1
